customer_id,name,email,phone,state,signup_date
01a9e71f-de8a-474b-8f36-d58b47378190,ALLISON HILL,jillrhodes@miller.com,890.838.6379,CALIFORNIA,06/03/2023
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Gina Moore,daviscolin@yahoo.com,+1-407-816-1849x593,new york,06-20-2023
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,VICTORIA WYATT,oramirez@martin-kelly.com,001-192-832-7648x350,CALIFORNIA,03/11/2023
827050a8-2369-4584-bf5e-9ff0ff50bde4,Austin Gentry,dianafoster@hotmail.com,242.388.4969x653,TEXAS,08-05-2024
e037e5ed-b8db-4672-b42d-47cc00d4af59,ANTHONY RODRIGUEZ,ycarlson@carlson-mcdonald.com,+10184514627,ILLINOIS,08-14-2023
11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,Pamela Romero,meagan89@hernandez.net,001-809-570-1543x03911,texas,05/10/2024
38602ab6-96a4-42f2-bae8-cc938dcdcd03,Betty Alvarez,allison96@hickman.com,001-465-787-1331x509,california,12/07/2022
baa4b71a-dd24-47ac-b78e-edb3693dffbc,Mark Perez,chad34@washington.org,001-737-631-1656,TEXAS,09-23-2022
8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,VICTORIA GARCIA,lauren13@gmail.com,872.624.7317,california,11-30-2022
bf7b539b-0f9a-4a4b-8acd-4e10bc594585,Zachary Huff,gabrieltucker@hancock.com,(064)746-8723x4309,CALIFORNIA,31/10/2023
506e5a9a-b758-488d-ab73-295b344a54b8,Kevin Shaw,yuchristopher@jones.com,(193)9909169x9854,TEXAS,07-06-2023
8b10550c-d570-4f32-b02c-dd20286218b8,CARLOS BREWER,sarah10@yahoo.com,+1-911-838-4251x354,FLORIDA,27/06/2025
0d01280f-d89a-40c0-a87d-1c78e7c421c7,WILLIAM ROMAN,sarah12@wilson-rodriguez.net,(449)353-4874,ILLINOIS,21/11/2022
4eea04e7-0ab5-4bde-a0a0-45026e068097,SANDRA WILLIAMS,danagreen@hotmail.com,868.011.2805x982,new york,01-18-2024
61ee411a-1bac-47a7-b386-f7a4c991603f,Rebecca Valencia,evelynestrada@yahoo.com,001-869-232-2602x56342,FLORIDA,30/08/2022
43f59a85-fbc9-487a-b668-a61794a1875d,Courtney Velasquez,kevin33 at gmail.com,+1-365-414-5868x50142,ILLINOIS,08-29-2022
1fe771d6-d917-4793-a9d3-c2e6505cc686,Jeffrey Chandler,gobrien@gmail.com,(934)060-8835x6159,texas,10-10-2023
36b5229a-acf5-481e-b131-62697118e364,MARY NGUYEN,jamesortega@yahoo.com,+1-299-468-0443x69957,ILLINOIS,02/09/2024
31c681ec-935f-4b0a-a138-4ddce2d9de5d,Steven Flynn,campbellelizabeth@rogers.com,320.037.9176,NEW YORK,06-16-2025
7337c599-7984-4388-9c8a-ee30be6033f7,James Hernandez,osbornejeffery@holmes.com,278.895.7986x872,CALIFORNIA,07/08/2023
